Location,Price,Type,No_Beds,No_Baths,Area,Latitude,Longitude,Region,Sub_region
"Nobodoy Housing Society, Mohammadpur, Dhaka",3600000,Apartment,2,2,750,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"South Badda, Badda, Dhaka",7000000,Apartment,3,3,1175,23.81501,90.43623,Badda,South Badda
"PC Culture Housing, Mohammadpur, Dhaka",10000000,Apartment,3,4,1560,23.76427,90.36547,Mohammadpur,PC Culture Housing
"Block I, Bashundhara R-A, Dhaka",12375000,Apartment,3,4,1220,23.66803,90.43935,BashundharaR-A,Block I
"West Shewrapara, Mirpur, Dhaka",8537500,Apartment,3,3,1425,23.81223,90.35967,Mirpur,West Shewrapara
"Sector 5, Uttara, Dhaka",8000000,Apartment,3,3,1200,23.86846,90.3928,Uttara,Sector 5
"South Banasree Project, Banasree, Dhaka",5000000,Apartment,2,2,800,23.76354,90.4318,Banasree,South Banasree Project
"Rayer Bazaar, Hazaribag, Dhaka",6000000,Apartment,3,2,1100,23.74769,90.36325,Hazaribag,Rayer Bazaar
"Faydabad, Dakshin Khan, Dhaka",4775000,Apartment,3,2,1125,23.85159,90.4151,DakshinKhan,Faydabad
"Shekhertek, Mohammadpur, Dhaka",3300000,Apartment,2,2,616,23.76427,90.36547,Mohammadpur,Shekhertek
"Dhaka Uddan, Mohammadpur, Dhaka",5250000,Apartment,3,3,1500,23.76427,90.36547,Mohammadpur,Dhaka Uddan
"Section 15, Mirpur, Dhaka",12500000,Apartment,3,4,1872,23.81223,90.35967,Mirpur,Section 15
"Kadamtala, Bashabo, Dhaka",7150000,Apartment,3,3,1300,23.7405,90.43472,Bashabo,Kadamtala
"Block F, Aftab Nagar, Dhaka",7500000,Apartment,3,3,1330,23.75625,90.36915,AftabNagar,Block F
"Nobodoy Housing Society, Mohammadpur, Dhaka",6875000,Apartment,3,3,1250,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"West Shewrapara, Mirpur, Dhaka",4500000,Apartment,3,2,950,23.81223,90.35967,Mirpur,West Shewrapara
"Chandrima Model Town, Mohammadpur, Dhaka",3200000,Apartment,2,2,800,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"East Bashabo, Bashabo, Dhaka",6356500,Apartment,3,3,1105,23.7405,90.43472,Bashabo,East Bashabo
"Khilbari Tek, Badda, Dhaka",6247500,Apartment,3,3,1255,23.81501,90.43623,Badda,Khilbari Tek
"Faydabad, Dakshin Khan, Dhaka",2500000,Apartment,2,2,700,23.85159,90.4151,DakshinKhan,Faydabad
"Road No 4, Baridhara DOHS, Dhaka",12200000,Apartment,3,3,1270,23.78855,90.40081,BaridharaDOHS,Road No 4
"North Bashabo, Bashabo, Dhaka",8450000,Apartment,3,3,1200,23.7405,90.43472,Bashabo,North Bashabo
"Free School Street, Kathalbagan, Dhaka",3500000,Apartment,2,2,650,23.74817,90.38665,Kathalbagan,Free School Street
"Gulshan 2, Gulshan, Dhaka",74000000,Apartment,4,4,3700,23.79059,90.42566,Gulshan,Gulshan 2
"Section 1, Mirpur, Dhaka",5725000,Apartment,2,2,950,23.81223,90.35967,Mirpur,Section 1
"Matikata, Cantonment, Dhaka",4200000,Apartment,3,3,1050,23.81934,90.39418,Cantonment,Matikata
"rayer bazar-sanker road, Dhanmondi, Dhaka",13000000,Apartment,3,4,2100,23.76629,90.41775,Dhanmondi,rayer bazar-sanker road
"Section 12, Mirpur, Dhaka",5800000,Apartment,4,4,1300,23.81223,90.35967,Mirpur,Section 12
"Sector 5, Uttara, Dhaka",21200000,Apartment,3,3,1760,23.86846,90.3928,Uttara,Sector 5
"Ashkona, Dakshin Khan, Dhaka",8560000,Apartment,3,3,1310,23.85159,90.4151,DakshinKhan,Ashkona
"Ashkona, Dakshin Khan, Dhaka",8780000,Apartment,3,3,1380,23.85159,90.4151,DakshinKhan,Ashkona
"Donia, Jatra Bari, Dhaka",5775000,Apartment,3,2,1050,23.71667,90.42181,JatraBari,Donia
"Road No 4, Shyamoli, Dhaka",7403000,Apartment,3,3,1346,23.78855,90.40081,Shyamoli,Road No 4
"Azam Road, Mohammadpur, Dhaka",4500000,Apartment,2,2,650,23.76007,90.36538,Mohammadpur,Azam Road
"Gulshan 2, Gulshan, Dhaka",75000000,Apartment,4,4,3800,23.79059,90.42566,Gulshan,Gulshan 2
"Sector 9, Uttara, Dhaka",15000000,Apartment,3,3,1570,23.86846,90.3928,Uttara,Sector 9
"Green Road, Kalabagan, Dhaka",8500000,Apartment,2,3,950,23.7544,90.38859,Kalabagan,Green Road
"Darussalam, Mirpur, Dhaka",3500000,Apartment,2,2,650,23.7792,90.35374,Mirpur,Darussalam
"Babar Road, Mohammadpur, Dhaka",17000000,Apartment,4,4,2084,23.77026,90.36731,Mohammadpur,Babar Road
"Block B, Banasree, Dhaka",3500000,Apartment,2,2,850,23.76354,90.4318,Banasree,Block B
"Uttar Badda, Badda, Dhaka",4800000,Apartment,3,3,1041,23.81501,90.43623,Badda,Uttar Badda
"Block C Extension, Banasree, Dhaka",7000000,Apartment,3,3,1400,23.76354,90.4318,Banasree,Block C Extension
"Block G, Bashundhara R-A, Dhaka",11000000,Apartment,3,3,1450,23.78357,90.40878,BashundharaR-A,Block G
"Pallabi, Mirpur, Dhaka",4200000,Apartment,2,2,850,23.82566,90.37001,Mirpur,Pallabi
"Malibagh First Lane, Malibagh, Dhaka",5500000,Apartment,3,2,1000,23.74979,90.41256,Malibagh,Malibagh First Lane
"Section 6, Mirpur, Dhaka",2300000,Apartment,2,2,850,23.81223,90.35967,Mirpur,Section 6
"Faydabad, Dakshin Khan, Dhaka",2500000,Apartment,2,2,600,23.85159,90.4151,DakshinKhan,Faydabad
"Block C, Bashundhara R-A, Dhaka",12322500,Apartment,3,4,1643,23.75596,90.37065,BashundharaR-A,Block C
"Block C, Banasree, Dhaka",70500000,Building,20,10,12000,23.76354,90.4318,Banasree,Block C
"Road No 18, Banani, Dhaka",20000000,Apartment,3,4,1475,23.76629,90.41775,Banani,Road No 18
"West Shewrapara, Mirpur, Dhaka",8675000,Apartment,3,3,1450,23.81223,90.35967,Mirpur,West Shewrapara
"Bochila, Mohammadpur, Dhaka",6700000,Apartment,4,3,1550,23.76427,90.36547,Mohammadpur,Bochila
"Section 10, Mirpur, Dhaka",6000000,Apartment,3,2,1150,23.81223,90.35967,Mirpur,Section 10
"Shahbagh Road, Paribagh, Dhaka",11000000,Apartment,3,4,2000,23.76629,90.41775,Paribagh,Shahbagh Road
"Shekhertek, Mohammadpur, Dhaka",4450000,Apartment,2,2,720,23.76427,90.36547,Mohammadpur,Shekhertek
"Uttar Badda, Badda, Dhaka",7900000,Apartment,3,3,1398,23.81501,90.43623,Badda,Uttar Badda
"Road No 2A, Cantonment, Dhaka",31000000,Apartment,3,4,2200,23.76629,90.41775,Cantonment,Road No 2A
"North Shahjahanpur, Shahjahanpur, Dhaka",5650000,Apartment,2,2,900,23.73723,90.4183,Shahjahanpur,North Shahjahanpur
"Uttar Badda, Badda, Dhaka",6050000,Apartment,3,3,1200,23.81501,90.43623,Badda,Uttar Badda
"Road No 23, Banani, Dhaka",35000000,Apartment,3,4,2300,23.76629,90.41775,Banani,Road No 23
"Section 10, Mirpur, Dhaka",2600000,Apartment,2,2,650,23.81223,90.35967,Mirpur,Section 10
"Section 12, Mirpur, Dhaka",3600000,Apartment,3,2,850,23.81223,90.35967,Mirpur,Section 12
"Nadda, Dhaka",9500000,Apartment,4,4,2020,23.73795,90.39749,Nadda,
"Rayer Bazaar, Hazaribag, Dhaka",7276500,Apartment,3,3,1323,23.74769,90.36325,Hazaribag,Rayer Bazaar
"Dhaka Uddan, Mohammadpur, Dhaka",3200000,Apartment,3,2,860,23.76427,90.36547,Mohammadpur,Dhaka Uddan
"Section 2, Mirpur, Dhaka",5500000,Apartment,3,2,1200,23.81223,90.35967,Mirpur,Section 2
"Merul Badda, Badda, Dhaka",7000000,Apartment,4,4,1450,23.77153,90.4254,Badda,Merul Badda
"Bank Colony, Savar, Dhaka",1975000,Apartment,2,1,790,23.84152,90.24643,Savar,Bank Colony
"2nd Colony, Mirpur, Dhaka",4388000,Apartment,3,2,1097,23.81223,90.35967,Mirpur,2nd Colony
"Kalabagan 1st Lane, Kalabagan, Dhaka",13950000,Apartment,3,3,1550,23.74748,90.38231,Kalabagan,Kalabagan 1st Lane
"Uttar Badda, Badda, Dhaka",7900000,Apartment,3,3,1398,23.81501,90.43623,Badda,Uttar Badda
"Dhaka Uddan, Mohammadpur, Dhaka",4300000,Apartment,3,3,1050,23.76427,90.36547,Mohammadpur,Dhaka Uddan
"Rayer Bazaar, Hazaribag, Dhaka",5000000,Apartment,2,2,800,23.74769,90.36325,Hazaribag,Rayer Bazaar
"Nurjahan Road, Mohammadpur, Dhaka",9520000,Apartment,3,3,1400,23.76037,90.36193,Mohammadpur,Nurjahan Road
"Nobodoy Housing Society, Mohammadpur, Dhaka",3600000,Apartment,2,2,750,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Manikdi, Cantonment, Dhaka",4594500,Apartment,3,3,1021,23.73905,90.46181,Cantonment,Manikdi
"Tejkunipara, Tejgaon, Dhaka",8500000,Apartment,3,3,1287,23.7921,90.37846,Tejgaon,Tejkunipara
"Bochila, Mohammadpur, Dhaka",3300000,Apartment,2,2,825,23.76427,90.36547,Mohammadpur,Bochila
"Gulbag, Malibagh, Dhaka",5600000,Apartment,2,2,1100,23.74979,90.41256,Malibagh,Gulbag
"West Agargaon, Agargaon, Dhaka",7000000,Apartment,3,3,1150,23.77323,90.37154,Agargaon,West Agargaon
"Section 6, Mirpur, Dhaka",4000000,Apartment,2,2,760,23.81223,90.35967,Mirpur,Section 6
"Section 10, Mirpur, Dhaka",5750000,Apartment,3,2,1150,23.81223,90.35967,Mirpur,Section 10
"Tali office Road, Hazaribag, Dhaka",6875000,Apartment,3,3,1250,23.7448,90.36347,Hazaribag,Tali office Road
"Amligola, Lalbagh, Dhaka",3550000,Apartment,2,2,650,23.72163,90.38809,Lalbagh,Amligola
"Darussalam, Mirpur, Dhaka",5170000,Apartment,3,3,1100,23.7792,90.35374,Mirpur,Darussalam
"South Bashabo, Bashabo, Dhaka",9050000,Apartment,3,3,1500,23.7405,90.43472,Bashabo,South Bashabo
"Bochila, Mohammadpur, Dhaka",4000000,Apartment,3,2,850,23.76427,90.36547,Mohammadpur,Bochila
"Sector 12, Uttara, Dhaka",6000000,Apartment,3,2,1050,23.86846,90.3928,Uttara,Sector 12
"Matuail, Demra, Dhaka",5000000,Apartment,3,2,1100,23.7121,90.4598,Demra,Matuail
"Kallyanpur, Mirpur, Dhaka",7800000,Apartment,3,3,1450,23.81467,90.37306,Mirpur,Kallyanpur
"Uttar Badda, Badda, Dhaka",4500000,Apartment,3,3,1010,23.81501,90.43623,Badda,Uttar Badda
"Manikdi, Cantonment, Dhaka",6210000,Apartment,3,3,1380,23.73905,90.46181,Cantonment,Manikdi
"Moneshwar, Hazaribag, Dhaka",4800000,Apartment,2,2,900,23.73931,90.36917,Hazaribag,Moneshwar
"Sector 10, Uttara, Dhaka",7000000,Apartment,3,3,1125,23.86846,90.3928,Uttara,Sector 10
"West Agargaon, Agargaon, Dhaka",6500000,Apartment,3,3,1250,23.77323,90.37154,Agargaon,West Agargaon
"West Shewrapara, Mirpur, Dhaka",6500000,Apartment,3,3,1180,23.81223,90.35967,Mirpur,West Shewrapara
"Middle Bashabo, Bashabo, Dhaka",10056000,Apartment,3,3,1424,23.74009,90.43418,Bashabo,Middle Bashabo
"Middle Paikpara, Mirpur, Dhaka",7000000,Apartment,3,3,1300,23.79193,90.35733,Mirpur,Middle Paikpara
"Sector 13, Uttara, Dhaka",19350000,Apartment,4,4,2150,23.86846,90.3928,Uttara,Sector 13
"Golapbag, Jatra Bari, Dhaka",8400000,Apartment,3,2,1260,23.71856,90.42791,JatraBari,Golapbag
"Block C, Niketan, Dhaka",13000000,Apartment,3,3,1564,23.75596,90.37065,Niketan,Block C
"Block G, Banasree, Dhaka",7507000,Apartment,3,3,1241,23.76354,90.4318,Banasree,Block G
"Sector 11, Uttara, Dhaka",9600000,Apartment,3,3,1600,23.86846,90.3928,Uttara,Sector 11
"Section 10, Mirpur, Dhaka",8800000,Apartment,3,3,1465,23.81223,90.35967,Mirpur,Section 10
"Nobodoy Housing Society, Mohammadpur, Dhaka",10830000,Apartment,3,3,1900,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Outer Circular Road, Shiddheswari, Dhaka",16406800,Apartment,4,3,1729,23.72682,90.42152,Shiddheswari,Outer Circular Road
"Mirpur DOHS, Mirpur, Dhaka",18500000,Apartment,3,4,2200,23.82896,90.37865,Mirpur,Mirpur DOHS
"Salimullah Road, Mohammadpur, Dhaka",9450000,Apartment,3,3,1350,23.75913,90.36407,Mohammadpur,Salimullah Road
"East Bashabo, Bashabo, Dhaka",6350000,Apartment,3,3,1300,23.7405,90.43472,Bashabo,East Bashabo
"Uttar Badda, Badda, Dhaka",6960000,Apartment,3,3,1450,23.81501,90.43623,Badda,Uttar Badda
"Pallabi, Mirpur, Dhaka",6700000,Apartment,3,3,1200,23.82566,90.37001,Mirpur,Pallabi
"Block E, Lalmatia, Dhaka",25000000,Apartment,4,5,2200,23.81881,90.37802,Lalmatia,Block E
"Block I, Bashundhara R-A, Dhaka",12500000,Apartment,3,3,1600,23.66803,90.43935,BashundharaR-A,Block I
"Ahmed Nagar, Mirpur, Dhaka",6500000,Apartment,3,3,1172,23.81223,90.35967,Mirpur,Ahmed Nagar
"Green City Housing, Mohammadpur, Dhaka",5764000,Apartment,3,3,1441,23.76427,90.36547,Mohammadpur,Green City Housing
"Block C, Bashundhara R-A, Dhaka",9780000,Apartment,3,3,1630,23.75596,90.37065,BashundharaR-A,Block C
"Sector 3, Uttara, Dhaka",14625000,Apartment,3,4,2250,23.86846,90.3928,Uttara,Sector 3
"East Rampura, Rampura, Dhaka",6710000,Apartment,3,3,1220,23.76036,90.41909,Rampura,East Rampura
"Pallabi, Mirpur, Dhaka",5000000,Apartment,3,3,1550,23.82566,90.37001,Mirpur,Pallabi
"New Eskaton Road, Eskaton, Dhaka",17000000,Apartment,3,3,2009,23.74751,90.40013,Eskaton,New Eskaton Road
"West Dhanmondi, Dhanmondi, Dhaka",9600000,Apartment,3,3,1250,23.75047,90.36678,Dhanmondi,West Dhanmondi
"Taltola, Khilgaon, Dhaka",7500000,Apartment,3,3,1244,23.75349,90.42469,Khilgaon,Taltola
"Mohammadi Housing LTD., Mohammadpur, Dhaka",6500000,Apartment,3,3,1170,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
"Middle Monipur, Mirpur, Dhaka",2500000,Apartment,2,2,650,23.81223,90.35967,Mirpur,Middle Monipur
"Block I, Bashundhara R-A, Dhaka",10075000,Apartment,3,3,1550,23.66803,90.43935,BashundharaR-A,Block I
"Dakkhin Paikpara, Mirpur, Dhaka",6000000,Apartment,3,3,1340,23.79193,90.35733,Mirpur,Dakkhin Paikpara
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",7500000,Apartment,3,3,1250,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Rayer Bazaar, Hazaribag, Dhaka",7276500,Apartment,3,3,1322,23.74769,90.36325,Hazaribag,Rayer Bazaar
"Ashkona, Dakshin Khan, Dhaka",8380000,Apartment,3,3,1280,23.85159,90.4151,DakshinKhan,Ashkona
"Darussalam, Mirpur, Dhaka",7500000,Apartment,3,3,1345,23.7792,90.35374,Mirpur,Darussalam
"Karwan Bazar, Tejgaon, Dhaka",4285000,Apartment,2,2,850,23.7921,90.37846,Tejgaon,Karwan Bazar
"Sector 10, Uttara, Dhaka",10290000,Apartment,3,3,1500,23.86846,90.3928,Uttara,Sector 10
"Pirerbag, Mirpur, Dhaka",5000000,Apartment,3,2,1075,23.81223,90.35967,Mirpur,Pirerbag
"Block A, Bashundhara R-A, Dhaka",15500000,Apartment,3,3,2440,23.75669,90.37316,BashundharaR-A,Block A
"Sher-E-Bangla Road, Hazaribag, Dhaka",7255000,Apartment,3,3,1451,23.73494,90.36859,Hazaribag,Sher-E-Bangla Road
"Section 10, Mirpur, Dhaka",8800000,Apartment,3,3,1465,23.81223,90.35967,Mirpur,Section 10
"Section 12, Mirpur, Dhaka",4200000,Apartment,3,3,1080,23.81223,90.35967,Mirpur,Section 12
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",7500000,Apartment,3,3,1250,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"New Eskaton, Eskaton, Dhaka",11500000,Apartment,3,3,1440,23.74751,90.40013,Eskaton,New Eskaton
"Block C, Aftab Nagar, Dhaka",9000000,Apartment,3,3,1300,23.75596,90.37065,AftabNagar,Block C
"Rayer Bazaar, Hazaribag, Dhaka",8700000,Apartment,3,3,1450,23.74769,90.36325,Hazaribag,Rayer Bazaar
"Gulshan 2, Gulshan, Dhaka",30000000,Apartment,3,3,2300,23.79059,90.42566,Gulshan,Gulshan 2
"Kallyanpur, Mirpur, Dhaka",5750000,Apartment,3,2,1150,23.81467,90.37306,Mirpur,Kallyanpur
"Block F, Bashundhara R-A, Dhaka",12000000,Apartment,3,4,1605,23.75625,90.36915,BashundharaR-A,Block F
"Jigatola, Hazaribag, Dhaka",7000000,Apartment,3,3,1250,23.73926,90.37563,Hazaribag,Jigatola
"Ashkona, Dakshin Khan, Dhaka",6650000,Apartment,3,3,1100,23.85159,90.4151,DakshinKhan,Ashkona
"Donia, Jatra Bari, Dhaka",5775000,Apartment,3,2,1050,23.71667,90.42181,JatraBari,Donia
"Sonatongor Masjid Road, Hazaribag, Dhaka",5400000,Apartment,3,3,1080,23.78348,90.39614,Hazaribag,Sonatongor Masjid Road
"Bosila, Mohammadpur, Dhaka",5100000,Apartment,2,2,850,23.76427,90.36547,Mohammadpur,Bosila
"Block C, Bashundhara R-A, Dhaka",8500000,Apartment,3,3,1240,23.75596,90.37065,BashundharaR-A,Block C
"Block A, Lalmatia, Dhaka",20677000,Apartment,3,3,1798,23.75669,90.37316,Lalmatia,Block A
"Rajabazar, Tejgaon, Dhaka",7500000,Apartment,4,4,1800,23.7921,90.37846,Tejgaon,Rajabazar
"Sector 4, Uttara, Dhaka",24035500,Apartment,3,4,2285,23.86846,90.3928,Uttara,Sector 4
"Pallabi, Mirpur, Dhaka",11500000,Apartment,3,3,1554,23.82566,90.37001,Mirpur,Pallabi
"Sector 12, Uttara, Dhaka",4500000,Apartment,2,2,800,23.86846,90.3928,Uttara,Sector 12
"Kalachandpur Main Road, Kalachandpur, Dhaka",7072000,Apartment,3,3,1088,23.80953,90.42127,Kalachandpur,Kalachandpur Main Road
"Boro Maghbazar, Maghbazar, Dhaka",7000000,Apartment,3,2,965,23.7526,90.4026,Maghbazar,Boro Maghbazar
"East Kazipara, Mirpur, Dhaka",3600000,Apartment,3,2,1000,23.80091,90.37135,Mirpur,East Kazipara
"Matuail, Demra, Dhaka",2750000,Apartment,3,2,900,23.7121,90.4598,Demra,Matuail
"Jhigatola Road, Dhanmondi, Dhaka",6045000,Apartment,3,2,930,23.76629,90.41775,Dhanmondi,Jhigatola Road
"Block D, Bashundhara R-A, Dhaka",18840000,Apartment,3,4,1884,23.81709,90.43238,BashundharaR-A,Block D
"Section 11, Mirpur, Dhaka",11521400,Apartment,3,3,1413,23.81223,90.35967,Mirpur,Section 11
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",7000000,Apartment,3,3,1100,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"South Banasree Project, Banasree, Dhaka",6200000,Apartment,3,3,1150,23.76354,90.4318,Banasree,South Banasree Project
"Block C, Khilgaon, Dhaka",10500000,Apartment,3,3,1160,23.75349,90.42469,Khilgaon,Block C
"Block I, Bashundhara R-A, Dhaka",11500000,Apartment,3,4,1500,23.66803,90.43935,BashundharaR-A,Block I
"Boro Maghbazar, Maghbazar, Dhaka",9600000,Apartment,3,3,1400,23.7526,90.4026,Maghbazar,Boro Maghbazar
"Middle Monipur, Mirpur, Dhaka",8500000,Apartment,3,3,1750,23.81223,90.35967,Mirpur,Middle Monipur
"Shantibag, Malibagh, Dhaka",6660000,Apartment,3,3,1480,23.74388,90.41603,Malibagh,Shantibag
"Darussalam, Mirpur, Dhaka",3876000,Apartment,2,2,919,23.7792,90.35374,Mirpur,Darussalam
"Sector 11, Uttara, Dhaka",9000000,Apartment,2,3,1000,23.86846,90.3928,Uttara,Sector 11
"Road No 18, Banani, Dhaka",39000000,Apartment,3,4,2000,23.76629,90.41775,Banani,Road No 18
"Sobhanbag, Savar, Dhaka",4500000,Apartment,3,3,1220,23.84152,90.24643,Savar,Sobhanbag
"Kallyanpur, Mirpur, Dhaka",5700000,Apartment,3,3,1267,23.81467,90.37306,Mirpur,Kallyanpur
"Kalabagan 1st Lane, Kalabagan, Dhaka",9500000,Apartment,3,3,1100,23.74748,90.38231,Kalabagan,Kalabagan 1st Lane
"Block A, Lalmatia, Dhaka",20677000,Apartment,3,3,1798,23.75669,90.37316,Lalmatia,Block A
"Middle Badda, Badda, Dhaka",5175000,Apartment,3,3,1150,23.77753,90.4259,Badda,Middle Badda
"East Shewrapara, Mirpur, Dhaka",4300000,Apartment,3,2,1100,23.79255,90.3749,Mirpur,East Shewrapara
"Turag, Dhaka",3800000,Apartment,2,2,921,23.73795,90.39749,Turag,
"Chandrima Model Town, Mohammadpur, Dhaka",3700000,Apartment,2,2,875,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Jigatola, Hazaribag, Dhaka",7000000,Apartment,3,3,1250,23.73926,90.37563,Hazaribag,Jigatola
"Block C, Bashundhara R-A, Dhaka",10500000,Apartment,3,3,1500,23.75596,90.37065,BashundharaR-A,Block C
"Block C, Bashundhara R-A, Dhaka",10000000,Apartment,3,3,1400,23.75596,90.37065,BashundharaR-A,Block C
"Block C, Bashundhara R-A, Dhaka",13322500,Apartment,3,3,1643,23.75596,90.37065,BashundharaR-A,Block C
"West Shewrapara, Mirpur, Dhaka",4000000,Apartment,3,2,1050,23.81223,90.35967,Mirpur,West Shewrapara
"Dakhshin Para, Mohakhali, Dhaka",4290000,Apartment,2,2,780,23.78074,90.40911,Mohakhali,Dakhshin Para
"Khan Bari Road, Kalachandpur, Dhaka",7150000,Apartment,3,3,1300,23.72783,90.48041,Kalachandpur,Khan Bari Road
"Block G, Bashundhara R-A, Dhaka",12500000,Apartment,3,4,1710,23.78357,90.40878,BashundharaR-A,Block G
"Chandrima Model Town, Mohammadpur, Dhaka",5781000,Apartment,3,3,1566,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Kutum Goli, Agargaon, Dhaka",5280000,Apartment,3,2,1100,23.77323,90.37154,Agargaon,Kutum Goli
"Gulshan 2, Gulshan, Dhaka",35000000,Apartment,3,3,2300,23.79059,90.42566,Gulshan,Gulshan 2
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",10000000,Apartment,3,3,1260,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Block C, Bashundhara R-A, Dhaka",37500000,Duplex,5,6,4000,23.75596,90.37065,BashundharaR-A,Block C
"Rajarbag, Bashabo, Dhaka",3885000,Apartment,3,2,1110,23.74009,90.43418,Bashabo,Rajarbag
"Pallabi, Mirpur, Dhaka",5362500,Apartment,3,2,975,23.82566,90.37001,Mirpur,Pallabi
"Ashkona, Dakshin Khan, Dhaka",6812000,Apartment,3,3,1275,23.85159,90.4151,DakshinKhan,Ashkona
"Bochila, Mohammadpur, Dhaka",6400000,Apartment,3,3,1200,23.76427,90.36547,Mohammadpur,Bochila
"Bawnia, Turag, Dhaka",8600000,Apartment,3,4,1700,23.73795,90.39749,Turag,Bawnia
"Bochila, Mohammadpur, Dhaka",5450000,Apartment,3,2,1145,23.76427,90.36547,Mohammadpur,Bochila
"Middle Monipur, Mirpur, Dhaka",4950000,Apartment,3,2,1100,23.81223,90.35967,Mirpur,Middle Monipur
"Sector 12, Uttara, Dhaka",9500000,Apartment,3,3,1331,23.86846,90.3928,Uttara,Sector 12
"Gulshan 1, Gulshan, Dhaka",75000000,Apartment,4,6,4500,23.79059,90.42566,Gulshan,Gulshan 1
"Kallyanpur, Mirpur, Dhaka",5700000,Apartment,3,3,1267,23.81467,90.37306,Mirpur,Kallyanpur
"Road No 12, Dhanmondi, Dhaka",51616800,Apartment,3,3,3096,23.76629,90.41775,Dhanmondi,Road No 12
"Sector 10, Uttara, Dhaka",9200000,Apartment,4,3,1700,23.86846,90.3928,Uttara,Sector 10
"Shantibag, Malibagh, Dhaka",16450000,Apartment,4,3,2350,23.74388,90.41603,Malibagh,Shantibag
"Ahmed Nagar, Mirpur, Dhaka",8250000,Apartment,3,3,1500,23.81223,90.35967,Mirpur,Ahmed Nagar
"Road No 8A, Dhanmondi, Dhaka",7500000,Apartment,3,2,1005,23.76629,90.41775,Dhanmondi,Road No 8A
"Uttar Badda, Badda, Dhaka",3100000,Apartment,3,2,1000,23.81501,90.43623,Badda,Uttar Badda
"East Rampura, Rampura, Dhaka",4500000,Apartment,2,2,850,23.76036,90.41909,Rampura,East Rampura
"Janata Housing Society, Adabor, Dhaka",7300000,Apartment,2,2,1053,23.80014,90.35599,Adabor,Janata Housing Society
"Road No 13, Baridhara, Dhaka",30000000,Apartment,3,3,1800,23.76629,90.41775,Baridhara,Road No 13
"Rajarbagh, Motijheel, Dhaka",8500000,Apartment,3,3,1096,23.72558,90.42179,Motijheel,Rajarbagh
"Darussalam, Mirpur, Dhaka",7500000,Apartment,3,3,1345,23.7792,90.35374,Mirpur,Darussalam
"Monipuripara, Tejgaon, Dhaka",12500000,Apartment,3,3,1250,23.7921,90.37846,Tejgaon,Monipuripara
"Block C, Banasree, Dhaka",6400000,Apartment,2,2,950,23.76354,90.4318,Banasree,Block C
"Block B, Niketan, Dhaka",13500000,Apartment,3,4,1665,23.77338,90.40971,Niketan,Block B
"Mohammadi Homes R/A, Mohammadpur, Dhaka",4750000,Apartment,2,2,900,23.762609,90.351915,Mohammadpur,Mohammadi Homes R/A
"Shiddheswari Lane, Shiddheswari, Dhaka",8750000,Apartment,3,3,1250,23.73795,90.39749,Shiddheswari,Shiddheswari Lane
"South Keraniganj, Keraniganj, Dhaka",6500000,Apartment,3,3,1280,23.64456,90.34818,Keraniganj,South Keraniganj
"Darussalam, Mirpur, Dhaka",5170000,Apartment,3,3,1100,23.7792,90.35374,Mirpur,Darussalam
"Block C Extension, Banasree, Dhaka",7000000,Apartment,3,3,1400,23.76354,90.4318,Banasree,Block C Extension
"Section 10, Mirpur, Dhaka",3800000,Apartment,2,2,760,23.81223,90.35967,Mirpur,Section 10
"Sultangong Road, Hazaribag, Dhaka",7250000,Apartment,3,3,1450,23.76629,90.41775,Hazaribag,Sultangong Road
"Kallyanpur, Mirpur, Dhaka",3400000,Apartment,3,2,850,23.81467,90.37306,Mirpur,Kallyanpur
"Sector 5, Uttara, Dhaka",8000000,Apartment,3,3,1100,23.86846,90.3928,Uttara,Sector 5
"North Shahjahanpur, Shahjahanpur, Dhaka",8000000,Apartment,3,3,1200,23.73723,90.4183,Shahjahanpur,North Shahjahanpur
"Shahjadpur, Badda, Dhaka",4610000,Apartment,3,3,922,23.77153,90.4254,Badda,Shahjadpur
"Block F, Bashundhara R-A, Dhaka",11000000,Apartment,3,3,1550,23.75625,90.36915,BashundharaR-A,Block F
"Faydabad, Dakshin Khan, Dhaka",6200000,Apartment,3,3,1250,23.85159,90.4151,DakshinKhan,Faydabad
"Sector 10, Uttara, Dhaka",14137500,Apartment,3,5,2175,23.86846,90.3928,Uttara,Sector 10
"South Keraniganj, Keraniganj, Dhaka",4800000,Apartment,3,3,1200,23.64456,90.34818,Keraniganj,South Keraniganj
